cz,czname,emp_pooled2010,emp_white2010,emp_black2010,emp_pooled1980,emp_white1980,emp_black1980,emp_pooled1990,emp_white1990,emp_black1990,emp_pooled2000,emp_white2000,emp_black2000,emp_pooled2009,emp_white2009,emp_black2009,frac_coll_pooled2010,frac_coll_white2010,frac_coll_black2010,frac_coll_pooled1980,frac_coll_white1980,frac_coll_black1980,frac_coll_pooled1990,frac_coll_white1990,frac_coll_black1990,frac_coll_pooled2000,frac_coll_white2000,frac_coll_black2000,frac_coll_pooled2009,frac_coll_white2009,frac_coll_black2009,foreign_share1980,foreign_share1990,foreign_share2000,foreign_share2009,gini2010,gini1990,gini2000,hhinc_median_pooled2010,hhinc_median_white2010,hhinc_median_black2010,hhinc_median_pooled1980,hhinc_median_white1980,hhinc_median_black1980,hhinc_median_pooled1990,hhinc_median_white1990,hhinc_median_black1990,hhinc_median_pooled2000,hhinc_median_white2000,hhinc_median_black2000,hhinc_median_pooled2009,hhinc_median_white2009,hhinc_median_black2009,percap_inc_pooled2010,percap_inc_white2010,percap_inc_black2010,percap_inc_pooled1980,percap_inc_white1980,percap_inc_black1980,percap_inc_pooled1990,percap_inc_white1990,percap_inc_black1990,percap_inc_pooled2000,percap_inc_white2000,percap_inc_black2000,percap_inc_pooled2009,percap_inc_white2009,percap_inc_black2009,poor_share_pooled2010,poor_share_white2010,poor_share_black2010,poor_share_pooled1980,poor_share_white1980,poor_share_black1980,poor_share_pooled1990,poor_share_white1990,poor_share_black1990,poor_share_pooled2000,poor_share_white2000,poor_share_black2000,poor_share_pooled2009,poor_share_white2009,poor_share_black2009,share_white2010,share_black2010,share_white1980,share_black1980,share_white1990,share_black1990,share_white2000,share_black2000,singlepar_pooled2010,singlepar_white2010,singlepar_black2010,singlepar_pooled1980,singlepar_white1980,singlepar_black1980,singlepar_pooled1990,singlepar_white1990,singlepar_black1990,singlepar_pooled2000,singlepar_white2000,singlepar_black2000,change_emp_white1980_2000,change_emp_white1990_2009,change_emp_white1990_2010,change_emp_black1980_2000,change_emp_black1990_2009,change_emp_black1990_2010,change_emp_pooled1980_2000,change_emp_pooled1990_2009,change_emp_pooled1990_2010,change_frac_coll_white1980_2000,change_frac_coll_white1990_2009,change_frac_coll_white1990_2010,change_frac_coll_black1980_2000,change_frac_coll_black1990_2009,change_frac_coll_black1990_2010,change_frac_coll_pooled1980_2000,change_frac_coll_pooled1990_2009,change_frac_coll_pooled1990_2010,change_hhinc_white1980_2000,change_hhinc_white1990_2009,change_hhinc_white1990_2010,change_hhinc_black1980_2000,change_hhinc_black1990_2009,change_hhinc_black1990_2010,change_hhinc_pooled1980_2000,change_hhinc_pooled1990_2009,change_hhinc_pooled1990_2010,change_percap_inc_white1980_2000,change_percap_inc_white1990_2009,change_percap_inc_white1990_2010,change_percap_inc_black1980_2000,change_percap_inc_black1990_2009,change_percap_inc_black1990_2010,change_poor_share_white1980_2000,change_poor_share_white1990_2009,change_poor_share_white1990_2010,change_poor_share_black1980_2000,change_poor_share_black1990_2009,change_poor_share_black1990_2010,change_share_white1980_2000,change_share_white1990_2010,change_share_black1980_2000,change_share_black1990_2010,change_singlepar_white1980_2000,change_singlepar_white1990_2010,change_singlepar_black1980_2000,change_singlepar_black1990_2010,change_singlepar_pooled1980_2000,change_singlepar_pooled1990_2010,change_foreign_share1980_2000,change_foreign_share1990_2009,change_gini1990_2010,pop_pooled2010,pop_pooled1990,state
100,Johnson City,0.63649881,0.63914388,0.60340017,0.61002648,0.61187953,0.53873473,0.6629414,0.66500896,0.58442193,0.66493231,0.66859812,0.57624626,0.6451984,0.64807957,0.58505481,0.19103581,0.19164699,0.14828564,0.10919725,0.10944299,0.081290878,0.13377486,0.13433313,0.094026029,0.16200042,0.16170907,0.13386776,0.18321115,0.18353817,0.13184586,0.00645239,0.69200468,0.98785162,0.01673824,0.457117918,0.433268102,0.453677652,52951.74732,53501.30963,44848.54101,50135.28069,50513.886,36032.25117,55479.4163,55919.80981,39737.20045,57794.31017,58231.02132,44251.51738,53377.37281,53841.03592,42448.80499,30193.93567,30712.97744,20884.78296,21565.895,21729.01,15595.526,27617.125,27824.00449,19508.1684,32124.04745,32401.12759,23010.50166,29971.57458,30422.19487,21469.32944,0.17878334,0.17090295,0.34613889,0.15484992,0.15130855,0.2915723,0.16023555,0.15675481,0.26918063,0.14025106,0.13625863,0.26490998,0.17371789,0.16663042,0.32119647,0.94768983,0.022582242,0.97490335,0.021991622,0.97354168,0.021281956,0.96166879,0.022390177,0.31606811,0.30879968,0.57261395,0.13414764,0.12836671,0.39956775,0.190354,0.18357246,0.48997164,0.24993452,0.24322741,0.49748603,0.056718592,-0.016929379,-0.025865065,0.036534254,-0.004055198,0.015531998,0.054905824,-0.017742962,-0.026442597,0.052266072,0.049205035,0.057313859,0.051336993,0.037819836,0.054259621,0.052803166,0.049436286,0.057260953,7717.1353,-2078.7739,-2418.5002,8219.2666,3256.363,5656.0996,7659.0293,-2102.0435,-2527.6689,10672.118,2598.1904,2888.9729,7293.4072,1961.161,1376.6145,-0.015049918,0.009875617,0.014148147,-0.025060298,0.052015845,0.076958276,-0.013234571,-0.025851827,0.000398557,0.001300286,0.11486071,0.12522723,0.097918287,0.097549088,0.1157869,0.12571409,0.98139924,-0.67526644,0.023849817,609299,524270,47
200,Morristown,0.65980917,0.6621722,0.60734659,0.60207623,0.60332942,0.5578714,0.67540449,0.67815894,0.53890151,0.67972928,0.68293184,0.57344234,0.67050111,0.6707837,0.71024042,0.13298272,0.13275728,0.11922179,0.080461308,0.08019498,0.07725139,0.098776609,0.099580772,0.066234268,0.11876756,0.11858524,0.091479801,0.13219278,0.1338747,0.046618294,0.00604537,0.77068716,0.977027,0.036090825,0.445286833,0.421420026,0.448853018,52884.72561,53368.23258,39066.82936,45879.35226,46007.48166,34095.79941,53852.40874,54320.63442,26722.64393,58555.79157,59100.62825,46265.12292,54188.02371,54788.68536,39155.80197,28291.59859,28675.90883,27129.83235,19414.367,19533.752,13428.152,25434.232,25652.08746,16900.94924,30894.91422,31382.46982,23765.13524,28152.10073,28549.11812,25303.38903,0.17538738,0.17204173,0.25855938,0.17916259,0.17693521,0.31549376,0.15947814,0.15586227,0.37405396,0.14316313,0.13737378,0.22936173,0.16415696,0.15839151,0.26534802,0.92678821,0.019079449,0.97453117,0.022017702,0.9734512,0.021059768,0.95384538,0.020523852,0.31809834,0.31381005,0.5020383,0.13937432,0.13505234,0.32696152,0.19561468,0.1895414,0.43804884,0.25476244,0.24857093,0.50467151,0.079602428,-0.007375251,-0.015986722,0.017793719,0.17133893,0.068445101,0.077653073,-0.004903333,-0.015595267,0.038390256,0.034293935,0.0331765,0.009186028,-0.019615974,0.052987523,0.038306251,0.033416171,0.034206104,13093.146,468.05093,-952.40179,9842.377,12433.158,12344.186,12676.439,335.61496,-967.68317,11848.718,2897.0308,3023.8213,8737.4873,8402.4395,10228.883,-0.039561432,0.002529239,0.016179461,-0.086538754,-0.10870595,-0.1154946,-0.020685788,-0.046662942,-0.002803901,-0.00198032,0.11351858,0.12426866,0.17589374,0.063989475,0.11538812,0.12248365,0.97098166,-0.73459631,0.023866806,262159,180775,47
301,Middlesborough,0.51563966,0.51787353,0.26774484,0.47929147,0.48160297,0.36577728,0.52064997,0.52462101,0.39103526,0.52368951,0.52630794,0.50454009,0.53069168,0.53418505,0.28651106,0.10745182,0.10501622,0.08220461,0.06455984,0.06443765,0.015029613,0.081755571,0.081957296,0.050993357,0.090756387,0.090345643,0.077589273,0.11036999,0.1087924,0.066085108,0.004781025,0.68282592,0.99275899,0.007394837,0.465734851,0.473360912,0.484279435,39085.17601,39056.18984,33486.23865,34238.04236,34408.29312,27301.0133,36950.78595,37241.4895,22712.43117,41347.67049,41536.26108,39442.2649,39247.17617,39145.24044,34741.67524,22104.15895,22175.25862,10905.18576,15686.151,15736.318,10453.416,18782.139,18936.09814,12399.77057,22596.81745,22701.31152,18113.45536,22122.61907,22299.90251,12860.42962,0.24306685,0.2462862,0.1016284,0.31260973,0.31065705,0.41445193,0.31190759,0.30953476,0.43427184,0.264934,0.26136065,0.32435393,0.26215097,0.26518568,0.12146522,0.96528906,0.013318833,0.98021621,0.01656224,0.97793877,0.016478129,0.971394,0.014424785,0.32445088,0.32006896,0.43020469,0.14223827,0.13921726,0.31241268,0.20220776,0.19802088,0.50578994,0.26311418,0.25870782,0.51355523,0.044704951,0.009564009,-0.006747511,0.13876279,-0.10452418,-0.1232904,0.044398017,0.010041735,-0.005010288,0.025907999,0.026835112,0.023058921,0.062559664,0.015091753,0.031211257,0.026196545,0.028614415,0.025696246,7127.9678,1903.751,1814.7003,9933.5703,10754.923,9499.4863,7109.6284,2296.3901,2134.3899,6964.9932,3363.8044,3239.1604,7660.0396,460.65903,-1494.5847,-0.049296416,-0.044349074,-0.063248567,-0.090098001,-0.31280661,-0.33264345,-0.008822224,-0.012649761,-0.003487485,-0.003159296,0.11949057,0.12204807,0.18740189,-0.076292939,0.1208759,0.12224313,0.98797798,-0.67543113,-0.007626061,67723,64382,21
302,Knoxville,0.67465389,0.6831736,0.57600194,0.62424868,0.62925732,0.5487498,0.68239355,0.6894635,0.57658619,0.68526298,0.69461364,0.57636601,0.67564511,0.68394727,0.58265406,0.26676926,0.27131569,0.17018223,0.15044583,0.15220062,0.10061994,0.1873384,0.18973403,0.12498996,0.22953902,0.23378746,0.13262635,0.26113144,0.26519951,0.18252212,0.011144316,0.71624625,0.97990382,0.030070733,0.459825044,0.451546573,0.461825027,63262.94438,65437.81261,39827.65206,53741.89469,55157.98046,36177.13507,61559.21501,63271.33831,36635.52318,66385.44904,68597.49263,39876.56262,63370.60102,65505.22521,40367.74445,35426.80437,36700.14551,23464.7925,24207.012,24811.254,16596.248,31827.344,32808.12446,19704.05874,36973.62465,38213.65914,23649.39993,35308.07469,36478.33462,23314.18469,0.14333573,0.12772067,0.30876273,0.15089332,0.13833335,0.30464846,0.14783521,0.13487186,0.33462507,0.12792699,0.11337871,0.30458811,0.14934099,0.1329356,0.30975896,0.89381301,0.058806833,0.93323225,0.060786828,0.92914152,0.05974998,0.91383427,0.059251316,0.30158275,0.2745637,0.61135155,0.16983561,0.14958738,0.45361429,0.21710813,0.19190106,0.54241264,0.25993955,0.23140214,0.59936279,0.065356277,-0.005516203,-0.006289886,0.030323429,0.006067844,-0.000584244,0.061014291,-0.006748441,-0.007739698,0.081586845,0.075465478,0.08158166,0.031199427,0.057532169,0.045192275,0.079093173,0.073793031,0.079430863,13439.512,2233.887,2166.4744,3405.6619,3662.667,3122.5747,12643.555,1811.386,1703.7294,13402.404,3670.2102,3892.0212,7279.3462,3610.126,3760.7336,-0.024954634,-0.001936251,-0.007151176,-0.009849326,-0.02486611,-0.025862342,-0.019397922,-0.035328485,-0.00153551,-0.000943145,0.081814758,0.082662642,0.14818285,0.075750306,0.090103932,0.084474608,0.96875948,-0.68617553,0.008278472,814914,634523,47
401,Winston-Salem,0.6836834,0.70434576,0.61754858,0.69274402,0.70671964,0.62814528,0.7439639,0.75801665,0.67885524,0.7275061,0.74957174,0.65806866,0.69393367,0.71032804,0.6401819,0.25837171,0.28658593,0.19061413,0.14357622,0.15538333,0.091802411,0.19224097,0.20905918,0.11503605,0.23159698,0.25739139,0.14084922,0.25263685,0.2793639,0.18206121,0.010783607,0.72359687,0.94412124,0.068439022,0.455702483,0.438241142,0.449937285,62975.9781,70710.90106,44949.30221,58583.36686,63740.31558,38045.21847,71284.3659,76962.44115,47722.88503,73630.28677,81050.79802,53185.45084,64218.7925,71713.25758,46818.9491,34561.29043,40299.16319,23910.86063,25508.807,28153.658,15653.718,36557.543,40480.19724,22431.92842,39499.21499,44622.53203,26934.34438,34815.76978,40070.75488,24835.0074,0.14960337,0.1026774,0.23581249,0.12034699,0.086955555,0.24868135,0.10513502,0.071830839,0.22784169,0.10808332,0.073563315,0.20594653,0.14333896,0.09767805,0.23990726,0.71369731,0.18673065,0.81043649,0.18387628,0.80628794,0.18389383,0.76238775,0.1856468,0.34688187,0.26216754,0.62275535,0.19645888,0.13430612,0.43501362,0.24057639,0.16712032,0.51539767,0.29029277,0.20626011,0.56345665,0.042852119,-0.047688626,-0.053670857,0.029923385,-0.038673352,-0.061306689,0.034762084,-0.050030265,-0.060280502,0.10200806,0.070304729,0.077526748,0.049046814,0.067025162,0.075578079,0.088020749,0.060395893,0.066130735,17310.482,-5249.1836,-6251.54,14940.175,-903.93591,-2773.5828,15046.92,-7065.5732,-8308.3877,16468.875,-409.44238,-181.03406,11280.627,2403.0791,1478.9321,-0.013392242,0.025847211,0.030846566,-0.042734817,0.012065574,0.007970789,-0.048048731,-0.092590608,0.001770531,0.002836814,0.07195399,0.095047228,0.12844302,0.10735767,0.093833879,0.10630547,0.93333769,-0.6551578,0.017461343,551390,423152,37
402,Martinsville,0.61987698,0.63865292,0.57317048,0.71542406,0.72256327,0.67071688,0.75304568,0.75199348,0.75336134,0.67898631,0.69866681,0.62707621,0.64562321,0.66704702,0.59153533,0.12216772,0.14671756,0.060377579,0.076570094,0.086237371,0.033975806,0.083200812,0.094032422,0.042159181,0.10462458,0.1206893,0.053422716,0.11944146,0.13775918,0.067466974,0.005474804,0.78124523,0.97549993,0.039525632,0.431481913,0.408807929,0.446569425,47758.24125,50605.31798,42700.77319,55596.25133,57112.45545,53027.39793,60199.34686,63144.68695,51355.36498,55611.52208,58731.62651,47176.44021,49018.34517,51865.6707,43884.29465,26724.09862,30123.37636,19922.52561,22399.979,24410.107,16179.984,28602.18,31400.80158,20481.12976,30731.50769,33291.3336,25077.34672,26554.38114,29556.07088,20731.00082,0.17455961,0.12898456,0.28814405,0.11087279,0.090117045,0.17757367,0.11310779,0.092688717,0.17511341,0.1330446,0.10985968,0.18242338,0.17174615,0.1265633,0.29081613,0.72989953,0.22292374,0.78401989,0.21337891,0.77566284,0.21976303,0.74972093,0.2244499,0.39205211,0.33518547,0.56948996,0.16505814,0.13891393,0.23892002,0.24167721,0.19029123,0.37285358,0.31819975,0.25826472,0.47505307,-0.023896473,-0.084946454,-0.11334055,-0.043640681,-0.16182603,-0.18019085,-0.036437746,-0.10742247,-0.13316874,0.034451928,0.043726765,0.052685149,0.019446908,0.025307793,0.018218398,0.028054485,0.036240641,0.038966905,1619.171,-11279.016,-12539.369,-5850.958,-7471.0703,-8654.5918,15.27074,-11181.002,-12441.105,8881.2266,-1844.7307,-1277.4252,8897.3613,249.87109,-558.60413,0.019742636,0.033874571,0.036295842,0.004849714,0.11570273,0.11303064,-0.03429896,-0.045763291,0.01107099,0.003160704,0.11935078,0.14489424,0.23613305,0.19663639,0.15314162,0.1503749,0.97002512,-0.74171954,0.022673983,86462,90577,51
500,Greensboro,0.68588829,0.70988208,0.61892951,0.7184906,0.73448873,0.65645832,0.76850903,0.78323108,0.71656388,0.73196793,0.75834215,0.66263527,0.69561005,0.7208612,0.62506998,0.23089699,0.26404205,0.15762986,0.13501674,0.14511709,0.087756388,0.16768827,0.18482402,0.097025521,0.20723161,0.23508909,0.12703706,0.22793064,0.26165378,0.14477599,0.009657874,0.74697387,0.94823402,0.066740729,0.450815571,0.418833141,0.43646797,60345.40634,69390.16438,41701.91687,57957.01813,61786.72303,41832.83996,68963.20196,74122.51474,48971.18788,72120.00252,79396.44184,52397.16502,61326.71006,70154.3076,42305.09208,32962.66917,38836.57531,22923.69781,24923.902,27429.271,16013.74,33443.246,37203.36337,21005.32135,37441.95126,42666.11797,25787.16013,33369.20744,39192.39423,22415.7329,0.1623874,0.10909371,0.27352035,0.11239665,0.08005131,0.23160975,0.10351367,0.07393568,0.21164238,0.11027045,0.07573954,0.20825839,0.15700829,0.10638637,0.26539105,0.68073952,0.2330116,0.7894215,0.20392203,0.7784633,0.20909964,0.7305187,0.21943234,0.36769789,0.27199972,0.62501901,0.19383217,0.14116512,0.39705613,0.24423701,0.17043903,0.50257814,0.29887301,0.21366151,0.55602878,0.023853416,-0.062369887,-0.073348984,0.006176904,-0.091493882,-0.09763436,0.013477325,-0.072898962,-0.082620747,0.089971997,0.076829761,0.079218023,0.039280668,0.047750466,0.060604338,0.072214872,0.060242366,0.063208729,17609.719,-3968.2073,-4732.3501,10582.362,-6666.0957,-7269.271,14162.984,-7636.4922,-8617.7959,15236.846,1989.0309,1633.2119,9773.4199,1410.4115,1918.3765,-0.004311768,0.032450691,0.035158031,-0.023351356,0.053748671,0.061877962,-0.058902785,-0.097723752,0.015510303,0.023911975,0.072496384,0.10156067,0.15897265,0.12244086,0.10504084,0.12346088,0.9385761,-0.68023312,0.031982429,1168090,904324,37
601,North Wilkesboro,0.64922464,0.64406431,0.75801891,0.68398201,0.68506545,0.72655231,0.72876906,0.73002774,0.69103014,0.70224047,0.70540512,0.70707184,0.66899639,0.6644327,0.72256714,0.13694814,0.14113182,0.028925907,0.069631822,0.069001846,0.086674616,0.085902527,0.086078778,0.073680691,0.11518168,0.11857636,0.039915293,0.13356318,0.13441177,0.071540147,0.005442002,0.8685739,0.97341365,0.034260746,0.459746916,0.431971431,0.449625774,47173.4372,47914.66463,38024.90428,46681.81417,47049.59747,40179.87733,52341.69148,53158.09412,50014.80846,59764.4082,60788.53252,45895.60043,48988.05521,49554.01617,38778.46002,27502.09343,28442.68597,18377.60532,20120.105,20202.195,15332.141,25673.277,25993.34863,20610.90376,31460.26093,32256.89125,21638.52259,28273.69076,29137.17129,18803.55801,0.18829133,0.17263019,0.20164527,0.16415346,0.16136563,0.22757021,0.14795396,0.14605562,0.13696253,0.12319379,0.11607324,0.2089486,0.1813193,0.16526462,0.25086987,0.92028421,0.030624781,0.96109045,0.036231652,0.95909798,0.035563704,0.94181341,0.031427652,0.30018133,0.28675112,0.59447539,0.11978831,0.11467415,0.25295117,0.17619528,0.16663826,0.40938166,0.22979543,0.22004281,0.47926992,0.020339707,-0.065595068,-0.085963465,-0.019480472,0.031537,0.066988751,0.018258426,-0.059772663,-0.079544432,0.049574517,0.048332989,0.055053037,-0.046759319,-0.002140548,-0.044754785,0.045549862,0.047660649,0.051045619,13738.935,-3604.0781,-5243.4292,5715.7231,-11236.349,3009.2119,13082.594,-3353.6362,-5168.2544,12054.696,3143.8225,2449.3374,6306.3818,-1807.3457,-2233.2986,-0.045292396,0.019208997,0.026574569,-0.018621597,0.11390732,0.064682737,-0.019277044,-0.038813781,-0.004804001,-0.004938922,0.10536866,0.12011288,0.22631873,0.18509369,0.11000711,0.12398604,0.96797162,-0.83431315,0.027775485,96621,81602,37
602,Galax,0.64226222,0.64338589,0.32309011,0.66731584,0.66807479,0.62631488,0.71902704,0.72271025,0.40905228,0.6871345,0.70422739,0.27091458,0.66288495,0.65808791,0.5356372,0.12255785,0.12553787,0.012254992,0.056455687,0.05699297,0.029674418,0.069138668,0.069560386,0.03221269,0.096911557,0.098721914,0.047688954,0.1268201,0.12957545,0.1509006,0.004806751,0.74497509,0.97634053,0.039086528,0.437126576,0.412810719,0.462829085,45733.83914,45854.14981,33168.00864,43105.59896,43229.90563,39287.97029,49943.92738,50193.50532,38769.27756,54195.22692,54441.75655,48129.55072,45822.02666,45942.22663,32610.71037,26577.34794,27069.29017,17524.98146,19329.49,19460.711,14023.899,23836.314,24025.26638,15063.07125,30858.51548,31580.79289,25015.63454,26691.94478,27415.25157,21440.86151,0.19350289,0.1822826,0.30697933,0.16132019,0.15933183,0.25360602,0.15985118,0.15623197,0.15009242,0.14248122,0.13497771,0.22319286,0.19943686,0.18123552,0.27115899,0.94562721,0.016804891,0.97945851,0.018636279,0.9759478,0.018820096,0.94738787,0.027710361,0.32286614,0.31949839,0.58480114,0.13109818,0.12912042,0.24832325,0.18245161,0.17736641,0.38875896,0.23198472,0.22609527,0.35573292,0.036152579,-0.06462235,-0.079324357,-0.2869145,0.12658492,-0.085962184,0.019818692,-0.056142114,-0.076764829,0.041728944,0.060015053,0.05597749,0.047688954,0.11868792,-0.019957699,0.040455874,0.057681434,0.053419184,11211.851,-4251.2788,-4339.3555,10993.514,-6158.5669,-5601.2686,11089.628,-4121.9004,-4210.0884,12120.081,3389.9854,3044.0239,12738.225,6377.79,2461.9102,-0.024354115,0.025003564,0.026050635,-0.027459973,0.12106655,0.15688691,-0.032070611,-0.03032059,0.009074084,-0.002015205,0.096974842,0.14213197,0.10740967,0.19604217,0.10088654,0.14041454,0.97153378,-0.70588857,0.024315858,63772,59132,37
700,Spartanburg,0.6348204,0.65748006,0.54352009,0.67652678,0.69460011,0.59852469,0.72467351,0.74169225,0.65868902,0.69211954,0.71806365,0.5977574,0.64307845,0.66533697,0.55587518,0.18797421,0.20722687,0.1039544,0.11994653,0.13353996,0.050596029,0.13488065,0.1521882,0.051452309,0.1720954,0.19388467,0.075216778,0.18566507,0.20595331,0.095493324,0.013905494,0.75778788,0.96774513,0.04749044,0.444501388,0.417655936,0.43846751,57440.90316,63360.11331,38117.2317,55198.75265,59032.45611,38545.53523,64707.45927,69742.52688,42937.85951,67095.52841,73080.36346,45049.1426,57848.84618,64136.23832,40320.97897,29769.7574,32763.97232,20386.75953,22797.645,25139.018,13577.218,29318.811,32346.80763,17860.22494,33520.55479,37259.70869,22103.28632,30489.37615,33478.76685,21028.43265,0.15646686,0.12048556,0.2704697,0.13708559,0.097053409,0.29430348,0.12405974,0.086668335,0.26572683,0.12501648,0.090190925,0.24940452,0.14962925,0.1144346,0.2623181,0.73161995,0.20491709,0.79277068,0.20207728,0.78391534,0.20616291,0.7564826,0.20712644,0.36659124,0.27470696,0.68454218,0.17990926,0.12862177,0.39695477,0.24593268,0.17049491,0.52618456,0.31060636,0.2213494,0.61316538,0.023463551,-0.076355331,-0.084212229,-0.000767291,-0.10281387,-0.11516895,0.015592753,-0.081595063,-0.089853115,0.060344722,0.053765122,0.055038679,0.024620745,0.044041015,0.052502092,0.052148867,0.05078442,0.053093567,14047.907,-5606.2886,-6382.4136,6503.6074,-2616.8806,-4820.6279,11896.775,-6858.6133,-7266.5562,12120.69,1131.9592,417.1647,8526.0684,3168.2078,2526.5347,-0.006862489,0.027766259,0.033817217,-0.044898957,-0.003408708,0.004742863,-0.03628809,-0.052295417,0.005049159,-0.001245823,0.092727624,0.10421203,0.2162106,0.15835761,0.13069709,0.12065857,0.95383966,-0.71029741,0.026845451,389120,316059,37
